Sender,Receiver,Count
Zwingli,Johannes Chuffer,1
Nicolaus von Wattenwil,Zwingli,1
Nikolaus von Wattenwil,Zwingli,1
Hartmann Schnider,Zwingli,1
Rat von Biel,Zwingli,1
Zwingli,Rudolf Ammann,1
Zwingli,Wolfgang Capito und an Martin Bucer,1
Caspar Hedio,Zwingli,1
Zwingli,Georg Stähelin,1
Zwingli,Christophorus Ballista,2
Zwingli,Ulrich Kölbiner,1
Hans Meyer,Zwingli,1
Glarus,Zwingli,2
Simprecht Sorg,Zwingli,1
Jakob Grotsch,Zwingli,1
Diethelm Röist und an Rudolf Thumysen,Zwingli,1
Zwingli,Hans Ludwig Ammann,1
Zwingli,Janus Cornarius,3
Zwingli,Ulrich Funk,1
Valerius Anshelm,Zwingli,1
Heinrich Bullinger,Zwingli,1
Petrus Rümelin,Zwingli,1
Paulus Rasdorfer,Zwingli,1
Zwingli,Alexander Grat,1
Christoph Klauser,Zwingli,1
Ulrich Rechlinger,Zwingli,1
Benedikt Schütz,Zwingli,1
Zwingli,Ulrich Werdmüller,2
Hans Albrecht von Mülinen,Zwingli,1
